"name","essround","edition","cntry","proddate","idno","psu","samppoin","stratify","prob","trrtort","agea","gndr","hinctnta","eduyrs","rlgdnm","rlgblg","lrscale"
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",148,1076416,NA,"10      ",0.00071767152,4,24,2,6,12,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1480,1068124,NA,"4       ",0.000840184065,4,NA,1,NA,NA,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1481,1068124,NA,"4       ",0.000168036813,2,43,2,7,15,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1482,1058001,NA,"9       ",0.000977569065,1,29,2,NA,17,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1483,1058001,NA,"9       ",0.000977569065,1,28,2,NA,12,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1484,1058001,NA,"9       ",0.000488784533,2,38,2,NA,20,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1485,1058001,NA,"9       ",0.000977569065,2,23,2,NA,14,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1486,1058001,NA,"9       ",0.000977569065,1,36,2,NA,18,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1487,1007001,NA,"8       ",0.000726768653,2,55,1,7,10,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1488,1007001,NA,"8       ",0.000290707461,2,53,2,7,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1489,1007001,NA,"8       ",0.000726768653,1,71,1,9,12,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",149,1076416,NA,"10      ",0.00035883576,3,29,2,3,17,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1490,1058001,NA,"9       ",0.000651712059,5,20,2,NA,13,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1491,1058001,NA,"9       ",0.000977569065,1,33,2,NA,14,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1492,1058001,NA,"9       ",0.000977569065,2,31,2,NA,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1493,1058001,NA,"9       ",0.000651712059,5,21,2,NA,14,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1494,1029001,NA,"7       ",0.001148951434,1,77,1,NA,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1495,1029001,NA,"7       ",0.000574475717,3,77,2,2,NA,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1496,1029001,NA,"7       ",0.000574475717,1,30,2,1,16,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1497,1029001,NA,"7       ",0.000574475717,1,82,1,NA,12,5,1,0
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1498,1007001,NA,"8       ",0.000726768653,2,68,1,6,12,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1499,1042013,NA,"1       ",0.00029958687,1,27,2,NA,14,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",15,1046005,NA,"8       ",0.000474839298,3,33,1,NA,16,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",150,1052765,NA,"6       ",0.000595843729,4,55,2,NA,14,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1500,1007001,NA,"8       ",0.000726768653,1,28,1,4,16,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1501,1029001,NA,"7       ",0.001148951434,3,56,1,3,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1502,1029001,NA,"7       ",0.000287237859,1,25,1,NA,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1503,1071011,NA,"7       ",0.000827499648,4,43,2,3,13,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1504,1071011,NA,"7       ",0.00055166588,4,57,1,9,16,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1505,1071011,NA,"7       ",0.000827499648,1,22,2,5,12,5,1,8
